station,longitude,latitude,z
722210-99999,-8.6517E7,3.0483E7,0.0903225806451502
722215-13884,-8.6523E7,3.078E7,1.7583333333333542
722220-13899,-8.7187E7,3.0478E7,0.27032258064518544
722223-13899,-8.7187E7,3.0478E7,-0.7429032258064581
722225-03855,-8.7317E7,3.035E7,-0.8083602150537814
722226-93841,-8.7017E7,3.0717E7,-0.22670953092146817
722230-13894,-8.8246E7,3.0688E7,0.5990322580645113
722235-13838,-8.8068E7,3.0626E7,0.19053392658508983
722244-99999,-7.6922E7,3.8981E7,0.0
722245-99999,-8.5683E7,3.02E7,0.09814324558148257
722246-03844,-8.6517E7,3.065E7,-0.5771139480741567
722250-13829,-8.5E7,3.235E7,1.5855760368663567
722255-93842,-8.4942E7,3.2516E7,1.7190322580645017
722260-13895,-8.6408E7,3.2299999999999996E7,3.469354838709677
722265-13821,-8.635E7,3.2383000000000004E7,1.8261290322580237
722266-13850,-8.6983E7,3.235E7,-2.9811469534050445
722267-03878,-8.6012E7,3.1861E7,1.5780343988876808
722268-93843,-8.545E7,3.1317E7,1.5761290322580663
722269-03850,-8.5717E7,3.1267E7,0.7564516129031915
722270-13864,-8.4517E7,3.3917E7,0.05612903225804189
722275-99999,-8.6394E7,3.1309E7,0.3361215230538477
722280-13876,-8.6745E7,3.3566E7,1.0518602150537504
722284-99999,-8.5433E7,3.2616E7,1.0715795328142121
722285-99999,-8.6083E7,3.3967E7,1.0322084367245594
722286-93806,-8.7616E7,3.3212E7,1.6569844271412535
722287-13871,-8.5856E7,3.3587E7,-0.06918202764977366
722290-03881,-8.725E7,3.29E7,0.0
722293-99999,-9.33E7,2.9783E7,0.0
722295-99999,-9.0583E7,2.8533E7,1.7393379881994804
722300-53864,-8.6782E7,3.3178E7,-0.48193548387098417
722308-99999,-9.02E7,2.91E7,2.3973333333333215
722310-12916,-9.0251E7,2.9993E7,1.9267204301075367
722314-03934,-9.1883E7,3.0033E7,-0.5586008147999451
722315-53917,-9.0029E7,3.0049E7,1.2155481222522155
722316-12958,-9.0017E7,2.9817E7,-1.412518518518553
722317-13970,-9.1147E7,3.0537E7,1.6899999999999977
722320-12884,-8.9408E7,2.9333E7,-0.2327945041816264
722328-99999,-9.11E7,2.97E7,1.5190313715322645
722329-99999,-9.1333E7,2.9717E7,1.8774923963133574
722336-99999,-9.3667E7,2.8133E7,5.16132427843803
722340-13865,-8.8744E7,3.2335E7,1.002580645161288
722345-03866,-8.8567E7,3.2549999999999996E7,0.8208858111266721
722348-99999,-8.9333E7,3.1467E7,1.5610871020710704
722350-03940,-9.0078E7,3.2320999999999996E7,0.04935483870964674
722356-13939,-9.0985E7,3.3483E7,-0.16819354838712286
722357-99999,-9.13E7,3.1617E7,2.125323722686886
722358-93919,-9.0471E7,3.1183E7,0.45645161290320857
722359-13978,-9.0087E7,3.3496E7,1.5987096774193645
722390-03931,-9.3183E7,3.105E7,3.7923173831078003
722398-99999,-9.1983E7,2.83E7,1.6596536796536867
722400-03937,-9.3228E7,3.0125E7,1.3925806451612743
722403-99999,-9.1533E7,2.956E7,-0.2018228788831351
722404-13941,-9.3143E7,3.021E7,3.987542931982503
722405-13976,-9.1988E7,3.0205E7,1.4396774193548083
722406-99999,-9.066E7,2.9567E7,0.2905744037910125
722408-99999,-9.2117E7,2.9767E7,0.11969774739831962
722410-12917,-9.4021E7,2.9951E7,2.532580645161275
722416-12971,-9.8046E7,2.9709E7,1.1870967741935345
722420-12923,-9.4859E7,2.9273E7,0.9316129032258118
722420-99999,-9.48E7,2.93E7,1.2275038275482189
722422-12923,-9.4859E7,2.9273E7,0.5280342355703738
722423-12923,-9.4859E7,2.9273E7,-1.2716129032258294
722429-99999,-9.555E7,3.0067E7,0.2585114677684146
722430-12960,-9.536E7,2.998E7,2.5277419354838457
722435-12918,-9.5282E7,2.9638E7,1.6441935483870793
